Orthogroup	protein_3	protein
OG0001113	WP_043040958.1	WP_014623302.1
OG0001114	WP_043040959.1	WP_014623303.1
OG0001115	WP_043040962.1	WP_014623304.1
OG0001116	WP_115266708.1	WP_014623305.1
OG0001117	WP_154803631.1	WP_014623308.1
OG0001118	WP_154231414.1	WP_014623312.1
OG0001119	WP_154803630.1	WP_014623314.1
OG0001120	WP_154803629.1	WP_014623315.1
OG0001121	WP_043052295.1	WP_014623316.1
OG0001122	WP_154803628.1	WP_014623317.1
OG0001123	WP_154803627.1	WP_014623319.1
OG0001124	WP_154803626.1	WP_014623320.1
OG0001125	WP_154803624.1	WP_014623322.1
OG0001126	WP_154803622.1	WP_014623325.1
OG0001127	WP_154803621.1	WP_014623326.1
OG0001128	WP_232013920.1	WP_014623333.1
OG0001129	WP_043030073.1	WP_014623336.1
OG0001130	WP_154803616.1	WP_014623337.1
OG0001131	WP_043040989.1	WP_014623338.1
OG0001132	WP_154803612.1	WP_014623342.1
OG0001133	WP_111690344.1	WP_014623345.1
OG0001134	WP_154803610.1	WP_014623348.1
OG0001135	WP_012677503.1	WP_014623350.1
OG0001136	WP_154803607.1	WP_014623352.1
OG0001137	WP_012677500.1	WP_014623353.1
OG0001138	WP_012677499.1	WP_014623354.1
OG0001139	WP_012516140.1	WP_014623356.1
OG0001140	WP_154803604.1	WP_014623361.1
OG0001141	WP_154803603.1	WP_014623365.1
OG0001142	WP_154803601.1	WP_014623369.1
OG0001143	WP_012677479.1	WP_014623371.1
OG0001144	WP_012516168.1	WP_014623372.1
OG0001145	WP_154803600.1	WP_014623373.1
OG0001146	WP_111690363.1	WP_014623374.1
OG0001147	WP_021321078.1	WP_014623375.1
OG0001148	WP_111690364.1	WP_014623376.1
OG0001149	WP_043026448.1	WP_014623377.1
OG0001150	WP_154803598.1	WP_014623378.1
OG0001151	WP_042671203.1	WP_014623380.1
OG0001152	WP_154803594.1	WP_014623383.1
OG0001153	WP_014623384.1	WP_014623384.1
OG0001154	WP_043030096.1	WP_014623386.1
OG0001155	WP_154803592.1	WP_014623388.1
OG0001156	WP_154803591.1	WP_014623389.1
OG0001157	WP_154803589.1	WP_014623391.1
OG0001158	WP_021321087.1	WP_014623394.1
OG0001159	WP_037579846.1	WP_014623396.1
OG0001160	WP_138119710.1	WP_014623397.1
OG0001161	WP_154803586.1	WP_014623399.1
OG0001162	WP_154803585.1	WP_014623400.1
OG0001163	WP_154803584.1	WP_014623401.1
OG0001164	WP_154803583.1	WP_014623402.1
OG0001165	WP_154803580.1	WP_014623405.1
OG0001166	WP_154803579.1	WP_014623406.1
OG0001167	WP_014623408.1	WP_014623408.1
OG0001168	WP_041790323.1	WP_014623410.1
OG0001169	WP_154803575.1	WP_014623419.1
OG0001170	WP_043041072.1	WP_014623420.1
OG0001171	WP_154803574.1	WP_014623421.1
OG0001172	WP_042671253.1	WP_014623422.1
OG0001173	WP_154803573.1	WP_014623423.1
OG0001174	WP_154804373.1	WP_014623424.1
OG0001175	WP_154803561.1	WP_014623425.1
OG0001176	WP_154803560.1	WP_014623426.1
OG0001177	WP_111690395.1	WP_014623427.1
OG0001178	WP_043041081.1	WP_014623428.1
OG0001179	WP_154803559.1	WP_014623430.1
OG0001180	WP_037579913.1	WP_014623431.1
OG0001181	WP_154803557.1	WP_014623434.1
OG0001182	WP_154803555.1	WP_014623437.1
OG0001183	WP_111678521.1	WP_014623438.1
OG0001184	WP_012516257.1	WP_014623439.1
OG0001185	WP_014623443.1	WP_014623443.1
OG0001186	WP_154803553.1	WP_014623444.1
OG0001187	WP_012677405.1	WP_014623445.1
OG0001188	WP_111710802.1	WP_014623447.1
OG0001189	WP_154803551.1	WP_014623448.1
OG0001190	WP_014623449.1	WP_014623449.1
OG0001191	WP_043030141.1	WP_014623451.1
OG0001192	WP_154803550.1	WP_014623452.1
OG0001193	WP_043041094.1	WP_014623453.1
OG0001194	WP_012516273.1	WP_014623456.1
OG0001195	WP_043026540.1	WP_014623457.1
OG0001196	WP_042671297.1	WP_014623462.1
OG0001197	WP_154804370.1	WP_014623463.1
OG0001198	WP_043026548.1	WP_014623464.1
OG0001199	WP_021321130.1	WP_014623465.1
OG0001200	WP_154804369.1	WP_014623466.1
OG0001201	WP_154804365.1	WP_014623469.1
OG0001202	WP_042357214.1	WP_014623470.1
OG0001203	WP_154804364.1	WP_014623472.1
OG0001204	WP_154804363.1	WP_014623473.1
OG0001205	WP_154804362.1	WP_014623474.1
OG0001206	WP_043052355.1	WP_014623477.1
OG0001207	WP_154804157.1	WP_014623480.1
OG0001208	WP_154804158.1	WP_014623481.1
OG0001209	WP_043039296.1	WP_014623496.1, WP_038674104.1
OG0001210	WP_154804159.1	WP_014623499.1
OG0001211	WP_014623510.1	WP_014623510.1
OG0001212	WP_043053414.1	WP_014623511.1
OG0001213	WP_154804360.1	WP_014623515.1
OG0001214	WP_043052360.1	WP_014623517.1
OG0001215	WP_154804359.1	WP_014623518.1
OG0001216	WP_012677362.1	WP_014623519.1
OG0001217	WP_012677361.1	WP_014623521.1
OG0001218	WP_154804358.1	WP_014623524.1
OG0001219	WP_154804356.1	WP_014623526.1
OG0001220	WP_014623528.1	WP_014623528.1
OG0001221	WP_154804355.1	WP_014623529.1
OG0001222	WP_012516320.1	WP_014623530.1
OG0001223	WP_154804354.1	WP_014623531.1
OG0001224	WP_154804353.1	WP_014623532.1
OG0001225	WP_154804352.1	WP_014623533.1
OG0001226	WP_012677345.1	WP_014623545.1
OG0001227	WP_154804336.1	WP_014623547.1
OG0001228	WP_154804332.1	WP_014623550.1
OG0001229	WP_111690442.1	WP_014623551.1
OG0001230	WP_154804330.1	WP_014623554.1
OG0001231	WP_111710844.1	WP_014623557.1
OG0001232	WP_015898573.1	WP_014623558.1
OG0001233	WP_014623560.1	WP_014623560.1
OG0001234	WP_154804328.1	WP_014623561.1
OG0001235	WP_012677325.1	WP_014623562.1
OG0001236	WP_015898577.1	WP_014623563.1
OG0001237	WP_154804326.1	WP_014623568.1
OG0001238	WP_154804325.1	WP_014623569.1
OG0001239	WP_012516357.1	WP_014623572.1
OG0001240	WP_015898586.1	WP_014623573.1
OG0001241	WP_043030196.1	WP_014623578.1
OG0001242	WP_043039476.1	WP_014623579.1
OG0001243	WP_154804319.1	WP_014623582.1
OG0001244	WP_012516370.1	WP_014623583.1
OG0001245	WP_154804318.1	WP_014623584.1
OG0001246	WP_043039480.1	WP_014623586.1
OG0001247	WP_043041180.1	WP_014623592.1
OG0001248	WP_154804313.1	WP_014623593.1
OG0001249	WP_043053470.1	WP_014623596.1
OG0001250	WP_043039496.1	WP_014623597.1
OG0001251	WP_154804312.1	WP_014623598.1
OG0001252	WP_021321196.1	WP_014623599.1
OG0001253	WP_012516387.1	WP_014623600.1
OG0001254	WP_111692821.1	WP_014623601.1
OG0001255	WP_021321198.1	WP_014623604.1
OG0001256	WP_043030216.1	WP_014623606.1
OG0001257	WP_154804306.1	WP_014623608.1
OG0001258	WP_232013913.1	WP_014623610.1
OG0001259	WP_154804307.1	WP_014623611.1
OG0001260	WP_041785768.1	WP_014623612.1
OG0001261	WP_043039555.1	WP_014623613.1
OG0001262	WP_043053483.1	WP_014623615.1
OG0001263	WP_154804305.1	WP_014623617.1
OG0001264	WP_012678666.1	WP_014623618.1
OG0001265	WP_037579437.1	WP_014623619.1
OG0001266	WP_154804304.1	WP_014623620.1
OG0001267	WP_014623625.1	WP_014623625.1
OG0001268	WP_012678673.1	WP_014623626.1
OG0001269	WP_154804303.1	WP_014623627.1
OG0001270	WP_138119888.1	WP_014623629.1
OG0001271	WP_154804302.1	WP_014623630.1
OG0001272	WP_012678677.1	WP_014623631.1
OG0001273	WP_154804301.1	WP_014623633.1
OG0001274	WP_014623634.1	WP_014623634.1
OG0001275	WP_154804300.1	WP_014623635.1
OG0001276	WP_154804299.1	WP_014623636.1
OG0001277	WP_043039523.1	WP_014623641.1
OG0001278	WP_012678694.1	WP_014623644.1
OG0001279	WP_154804296.1	WP_014623646.1
OG0001280	WP_154804294.1	WP_014623648.1
OG0001281	WP_154804293.1	WP_014623650.1
OG0001282	WP_154804292.1	WP_014623651.1
OG0001283	WP_012516457.1	WP_014623653.1
OG0001284	WP_043053502.1	WP_014623654.1
OG0001285	WP_154804289.1	WP_014623655.1
OG0001286	WP_154804288.1	WP_014623656.1
OG0001287	WP_111710899.1	WP_014623659.1
OG0001288	WP_154804286.1	WP_014623660.1
OG0001289	WP_154804281.1	WP_014623665.1
OG0001290	WP_154804280.1	WP_014623666.1
OG0001291	WP_154804279.1	WP_014623667.1
OG0001292	WP_015898693.1	WP_014623669.1
OG0001293	WP_111690517.1	WP_014623670.1
OG0001294	WP_154804274.1	WP_014623672.1
OG0001295	WP_172954526.1	WP_014623673.1
OG0001296	WP_154804273.1	WP_014623674.1
OG0001297	WP_014623675.1	WP_014623675.1
OG0001298	WP_154804272.1	WP_014623676.1
OG0001299	WP_154804271.1	WP_014623677.1
OG0001300	WP_154804269.1	WP_014623678.1
OG0001301	WP_012678733.1	WP_014623679.1
OG0001302	WP_012678734.1	WP_014623680.1
OG0001303	WP_043053521.1	WP_014623681.1
OG0001304	WP_043983146.1	WP_014623682.1
OG0001305	WP_154804268.1	WP_014623683.1
OG0001306	WP_111692887.1	WP_014623685.1
OG0001307	WP_012516513.1	WP_014623689.1
OG0001308	WP_111678801.1	WP_014623690.1
OG0001309	WP_154804263.1	WP_014623691.1
OG0001310	WP_154804262.1	WP_014623692.1
OG0001311	WP_012516520.1	WP_014623696.1
OG0001312	WP_012678752.1	WP_014623697.1
OG0001313	WP_012678687.1	WP_015898660.1
OG0001314	WP_021320338.1	WP_021320338.1
OG0001315	WP_012678534.1	WP_021320355.1
OG0001316	WP_269205574.1	WP_021320447.1
OG0001317	WP_021320451.1	WP_021320451.1
OG0001318	WP_021320463.1	WP_021320463.1
OG0001319	WP_021320464.1	WP_021320464.1
OG0001320	WP_138118959.1	WP_021320513.1
OG0001321	WP_154804035.1	WP_021320519.1
OG0001322	WP_154803961.1	WP_021320597.1
OG0001323	WP_021320625.1	WP_021320625.1
OG0001324	WP_154803944.1	WP_021320627.1
OG0001325	WP_021320639.1	WP_021320639.1
OG0001326	WP_232013954.1	WP_021320686.1
OG0001327	WP_021320695.1	WP_021320695.1
OG0001328	WP_154803843.1	WP_021320787.1
OG0001329	WP_154803790.1	WP_021320874.1
OG0001330	WP_041790317.1	WP_021321114.1
OG0001331	WP_012678669.1	WP_021321207.1
OG0001332	WP_024273159.1	WP_024273159.1
OG0001333	WP_037578643.1	WP_037578643.1
OG0001334	WP_043029597.1	WP_037578741.1
OG0001335	WP_012515291.1	WP_037578927.1
OG0001336	WP_043038773.1	WP_037579096.1
OG0001337	WP_037579971.1	WP_037579971.1
OG0001338	WP_012515069.1	WP_037580100.1
OG0001339	WP_037580974.1	WP_037580974.1
OG0001340	WP_012677593.1	WP_037581536.1
OG0001341	WP_154803727.1	WP_037581741.1
OG0001342	WP_037581977.1	WP_037581977.1
OG0001343	WP_012514799.1	WP_037583955.1
OG0001344	WP_172954540.1	WP_037584074.1
OG0001345	WP_043030677.1	WP_037584115.1
OG0001346	WP_043052359.1	WP_038673942.1
OG0001347	WP_012680108.1	WP_038673946.1
OG0001348	WP_154804161.1	WP_038673952.1
OG0001349	WP_154804164.1, WP_154803570.1	WP_038673969.1
OG0001350	WP_154804367.1	WP_038673978.1
OG0001351	WP_154804368.1	WP_038673980.1
OG0001352	WP_043041096.1	WP_038673984.1
OG0001353	WP_154803552.1	WP_038673987.1
OG0001354	WP_038673989.1	WP_038673989.1
OG0001355	WP_172954501.1	WP_038673995.1
OG0001356	WP_043041082.1	WP_038673998.1
OG0001357	WP_037579894.1	WP_038674003.1
OG0001358	WP_111690390.1	WP_038674006.1
OG0001359	WP_154803578.1	WP_038674011.1
OG0001360	WP_154803581.1	WP_038674013.1
OG0001361	WP_012677455.1	WP_038674015.1
OG0001362	WP_012677460.1	WP_038674020.1
OG0001363	WP_154803597.1	WP_038674028.1
OG0001364	WP_043030088.1	WP_038674032.1
OG0001365	WP_138120029.1	WP_038674033.1
OG0001366	WP_043030086.1	WP_038674035.1
OG0001367	WP_038674037.1	WP_038674037.1
OG0001368	WP_042671184.1	WP_038674039.1
OG0001369	WP_154803606.1	WP_038674046.1
OG0001370	WP_043030068.1	WP_038674051.1
OG0001371	WP_038674052.1	WP_038674052.1
OG0001372	WP_154803613.1	WP_038674057.1
OG0001373	WP_154803615.1	WP_038674059.1
OG0001374	WP_111690338.1	WP_038674062.1
OG0001375	WP_154803618.1	WP_038674064.1
OG0001376	WP_154803619.1	WP_038674069.1
OG0001377	WP_172954502.1	WP_038674072.1
OG0001378	WP_043039249.1	WP_038674074.1
OG0001379	WP_043026362.1	WP_038674079.1
OG0001380	WP_154803639.1	WP_038674092.1
OG0001382	WP_012516015.1	WP_038674125.1
OG0001383	WP_038674132.1	WP_038674132.1
OG0001384	WP_154803656.1	WP_038674134.1
OG0001385	WP_154803658.1	WP_038674136.1
OG0001386	WP_042670959.1	WP_038674138.1
OG0001387	WP_154803718.1	WP_038674148.1
OG0001388	WP_042670921.1	WP_038674154.1
OG0001389	WP_037581826.1	WP_038674165.1
OG0001390	WP_043040796.1	WP_038674170.1
OG0001391	WP_154804381.1	WP_038674174.1
OG0001392	WP_154804382.1	WP_038674176.1
OG0001393	WP_154803756.1	WP_038674184.1
OG0001394	WP_154803758.1	WP_038674185.1
OG0001395	WP_154803762.1	WP_038674190.1
OG0001396	WP_154803764.1	WP_038674195.1
OG0001397	WP_154803772.1	WP_038674199.1
OG0001398	WP_172954508.1	WP_038674202.1
OG0001399	WP_043983371.1	WP_038674204.1
OG0001400	WP_043029850.1	WP_038674206.1
OG0001401	WP_012677798.1	WP_038674215.1
OG0001402	WP_154803802.1	WP_038674228.1
OG0001403	WP_232013939.1	WP_038674231.1
OG0001404	WP_154804386.1	WP_038674233.1
OG0001405	WP_041785534.1	WP_038674234.1
OG0001406	WP_154803808.1	WP_038674237.1
OG0001407	WP_038674239.1	WP_038674239.1
OG0001408	WP_012677856.1	WP_038674241.1
OG0001409	WP_154803819.1	WP_038674246.1
OG0001410	WP_021320823.1	WP_038674249.1
OG0001411	WP_154804387.1	WP_038674251.1
OG0001412	WP_154803824.1	WP_038674253.1
OG0001413	WP_037581014.1	WP_038674254.1
OG0001414	WP_043053130.1	WP_038674257.1
OG0001415	WP_043053121.1	WP_038674265.1
OG0001416	WP_012677910.1	WP_038674268.1
OG0001417	WP_043030821.1	WP_038674269.1
OG0001418	WP_012677916.1	WP_038674271.1
OG0001419	WP_172954512.1	WP_038674273.1
OG0001420	WP_012679550.1	WP_038674275.1
OG0001421	WP_154804389.1	WP_038674277.1
OG0001422	WP_021320791.1	WP_038674279.1
OG0001423	WP_172954533.1	WP_038674283.1
OG0001424	WP_154803987.1	WP_038674289.1
OG0001425	WP_154803988.1	WP_038674291.1
OG0001426	WP_154804403.1	WP_038674294.1, WP_041788155.1
OG0001427	WP_021320773.1	WP_038674298.1
OG0001428	WP_154804392.1	WP_038674300.1
OG0001429	WP_154803849.1	WP_038674303.1
OG0001430	WP_038674312.1	WP_038674312.1
OG0001431	WP_165623376.1	WP_038674314.1
OG0001432	WP_154803864.1	WP_038674316.1
OG0001433	WP_154804394.1	WP_038674332.1
OG0001434	WP_043053035.1	WP_038674334.1
OG0001435	WP_012515514.1	WP_038674336.1
OG0001436	WP_154803882.1	WP_038674339.1
OG0001437	WP_154803907.1	WP_038674341.1
OG0001438	WP_154803917.1	WP_038674348.1
OG0001439	WP_021320668.1	WP_038674351.1
OG0001440	WP_154803921.1	WP_038674354.1
OG0001441	WP_043030687.1	WP_038674369.1
OG0001442	WP_043030686.1	WP_038674371.1
OG0001443	WP_154803939.1	WP_038674374.1
OG0001444	WP_232013959.1	WP_038674375.1
OG0001445	WP_154803946.1	WP_038674382.1
OG0001446	WP_012678178.1	WP_038674389.1
OG0001447	WP_154803964.1	WP_038674391.1
OG0001448	WP_051603707.1	WP_038674392.1
OG0001449	WP_154803966.1	WP_038674395.1
OG0001450	WP_038674400.1	WP_038674400.1
OG0001451	WP_154803972.1	WP_038674402.1
OG0001452	WP_043052912.1	WP_038674423.1
OG0001453	WP_043029529.1	WP_038674426.1
OG0001454	WP_154804013.1	WP_038674429.1
OG0001455	WP_165620487.1	WP_038674439.1
OG0001456	WP_043030615.1	WP_038674443.1
OG0001457	WP_138118967.1	WP_038674447.1
OG0001458	WP_172954516.1	WP_038674449.1
OG0001459	WP_012678311.1	WP_038674458.1
OG0001460	WP_041785349.1	WP_038674459.1
OG0001461	WP_012678328.1	WP_038674462.1
OG0001462	WP_154804053.1	WP_038674466.1
OG0001463	WP_154804070.1	WP_038674473.1
OG0001464	WP_154804071.1	WP_038674475.1
OG0001465	WP_154804073.1	WP_038674478.1
OG0001466	WP_021320460.1	WP_038674480.1
OG0001467	WP_154804410.1	WP_038674487.1
OG0001468	WP_043983764.1	WP_038674490.1
OG0001469	WP_154804085.1	WP_038674494.1
OG0001470	WP_012678408.1	WP_038674497.1
OG0001471	WP_172954519.1	WP_038674501.1
OG0001472	WP_172954520.1	WP_038674505.1
OG0001473	WP_012678440.1	WP_038674514.1
OG0001474	WP_038674519.1	WP_038674519.1
OG0001475	WP_037580139.1	WP_038674522.1
OG0001476	WP_154804109.1	WP_038674526.1
OG0001477	WP_043029378.1	WP_038674528.1
OG0001478	WP_154804113.1	WP_038674530.1
OG0001479	WP_154804114.1	WP_038674531.1
OG0001480	WP_154804118.1	WP_038674534.1
OG0001481	WP_154804119.1	WP_038674536.1
OG0001482	WP_154804122.1	WP_038674542.1
OG0001483	WP_043025214.1	WP_038674544.1
OG0001484	WP_154804125.1	WP_038674547.1
OG0001485	WP_172954541.1	WP_038674555.1
OG0001486	WP_111710298.1	WP_038674558.1
OG0001487	WP_154804414.1	WP_038674560.1
OG0001488	WP_111677738.1	WP_038674564.1
OG0001489	WP_037580305.1	WP_038674568.1
OG0001490	WP_154804137.1	WP_038674571.1
OG0001491	WP_154804140.1	WP_038674573.1
OG0001492	WP_154804146.1	WP_038674578.1
OG0001493	WP_037580456.1	WP_038674592.1
OG0001494	WP_154804178.1	WP_038674595.1
OG0001495	WP_012677305.1	WP_038674601.1
OG0001496	WP_154804418.1	WP_038674604.1
OG0001497	WP_154804199.1	WP_038674608.1
OG0001498	WP_232013888.1	WP_038674610.1
OG0001499	WP_042669843.1	WP_038674622.1
OG0001500	WP_154804229.1	WP_038674626.1
OG0001501	WP_154804232.1	WP_038674630.1
OG0001502	WP_042669797.1	WP_038674642.1
OG0001503	WP_012514750.1	WP_038674647.1
OG0001504	WP_043039910.1	WP_038674659.1
OG0001505	WP_043039889.1	WP_038674662.1
OG0001506	WP_154804255.1	WP_038674668.1
OG0001507	WP_012677181.1	WP_038674671.1
OG0001508	WP_111692886.1	WP_038674675.1
OG0001509	WP_154804275.1	WP_038674677.1
OG0001510	WP_154804295.1	WP_038674686.1
OG0001511	WP_043026779.1	WP_038674690.1
OG0001512	WP_021321222.1	WP_038674692.1
OG0001513	WP_012678663.1	WP_038674700.1
OG0001514	WP_015898638.1	WP_038674702.1
OG0001516	WP_154804316.1	WP_038674709.1
OG0001517	WP_021321183.1	WP_038674711.1
OG0001518	WP_043030195.1	WP_038674718.1
OG0001519	WP_154804322.1	WP_038674720.1
OG0001520	WP_154804324.1	WP_038674722.1
OG0001521	WP_111690450.1	WP_038674724.1
OG0001522	WP_154804423.1	WP_038674726.1
OG0001523	WP_154804333.1	WP_038674728.1
OG0001524	WP_154804335.1	WP_038674730.1
OG0001525	WP_154803694.1	WP_038674741.1, WP_041788190.1
OG0001526	WP_012680099.1	WP_038674746.1
OG0001527	WP_037579965.1	WP_038674750.1
OG0001528	WP_154803590.1	WP_038674752.1
OG0001529	WP_111710948.1	WP_038674756.1
OG0001530	WP_038674761.1	WP_038674761.1
OG0001531	WP_154804377.1	WP_038674775.1
OG0001532	WP_043029953.1	WP_038674779.1
OG0001533	WP_042671147.1	WP_038674782.1
OG0001534	WP_043983388.1	WP_038674792.1
OG0001535	WP_154803770.1	WP_038674795.1
OG0001536	WP_111710936.1	WP_038674798.1
OG0001537	WP_172954532.1	WP_038674800.1
OG0001538	WP_043030859.1	WP_038674810.1
OG0001539	WP_038674812.1	WP_038674812.1
OG0001540	WP_172954513.1	WP_038674825.1
OG0001541	WP_154803935.1	WP_038674827.1
OG0001542	WP_154803958.1	WP_038674831.1
OG0001543	WP_038674835.1	WP_038674835.1
OG0001544	WP_172954538.1	WP_038674841.1
OG0001545	WP_154804036.1	WP_038674844.1
OG0001546	WP_172954517.1	WP_038674846.1
OG0001547	WP_037580505.1	WP_038674866.1
OG0001548	WP_043030401.1	WP_038674871.1
OG0001549	WP_154804257.1	WP_038674883.1
OG0001550	WP_021320253.1	WP_041788096.1
OG0001551	WP_165623420.1	WP_041788108.1
OG0001552	WP_154803693.1, WP_154803715.1	WP_041788189.1
OG0001553	WP_154803930.1	WP_041788229.1
OG0001554	WP_021320970.1	WP_041790372.1
OG0001555	WP_042670147.1	WP_042670147.1
OG0001556	WP_172954521.1	WP_043029384.1
OG0001557	WP_172954522.1	WP_049780478.1
OG0001558	WP_232013957.1	WP_049780494.1
OG0001559	WP_021320857.1	WP_049780507.1
OG0001560	WP_043029841.1	WP_049780510.1
OG0001561	WP_172954539.1	WP_049780535.1
OG0001562	WP_043053223.1	WP_049780541.1
OG0001563	WP_049963507.1	WP_051488376.1
OG0001564	WP_021320912.1	WP_064484007.1
OG0001565	WP_024273194.1	WP_064484008.1
OG0001566	WP_154804197.1	WP_080004972.1
OG0001567	WP_154803875.1	WP_080004976.1
OG0001568	WP_232013906.1	WP_080004986.1
OG0001569	WP_111692358.1	WP_111692358.1
OG0001570	WP_012678193.1	WP_115267301.1
OG0001571	WP_172453602.1	WP_148255835.1
OG0001572	WP_024273168.1	WP_148255839.1
OG0001573	WP_154803809.1	WP_154224859.1
OG0001574	WP_154803862.1	WP_154224860.1
OG0001575	WP_154804315.1	WP_154224864.1
OG0001576	WP_154804128.1	WP_154293410.1
OG0001577	WP_154804107.1	WP_154293412.1
OG0001578	WP_154804038.1	WP_154293417.1
OG0001579	WP_154804033.1	WP_154293418.1
OG0001580	WP_042670316.1	WP_154293419.1
OG0001581	WP_154803927.1	WP_154293437.1
OG0001582	WP_012678073.1	WP_154293438.1
OG0001583	WP_154803912.1	WP_154293439.1
OG0001584	WP_154803850.1	WP_154293440.1
OG0001585	WP_012677961.1	WP_154293441.1
OG0001586	WP_037581040.1	WP_154293442.1
OG0001587	WP_038674217.1	WP_154293445.1
OG0001588	WP_043983344.1	WP_154293446.1
OG0001589	WP_154803747.1	WP_154293447.1
OG0001590	WP_228274124.1	WP_154293450.1
OG0001591	WP_154804366.1	WP_154293452.1
OG0001592	WP_154804320.1	WP_154293453.1
OG0001593	WP_154804297.1	WP_154293454.1
OG0001594	WP_154803605.1	WP_154293457.1
OG0001595	WP_154804206.1	WP_161572738.1
OG0001596	WP_172954509.1	WP_161572742.1
OG0001597	WP_154803922.1	WP_165620296.1
OG0001598	WP_172954535.1	WP_165620702.1
OG0001599	WP_228275438.1, WP_227687800.1	WP_169724971.1
OG0001600	WP_043040529.1	WP_169724973.1
OG0001601	WP_172954530.1	WP_169724978.1
OG0001602	WP_172453605.1	WP_169724979.1
OG0001603	WP_172454104.1	WP_169724988.1
OG0001604	WP_197718039.1	WP_192884538.1
OG0001605	WP_196820072.1	WP_196820072.1
OG0001606	WP_232013915.1	WP_202619040.1
OG0001607	WP_231872387.1	WP_207618773.1
OG0001608	WP_165626699.1	WP_227687744.1
OG0001609	WP_232013878.1	WP_227687749.1
OG0001610	WP_012677955.1	WP_228269579.1
OG0001611	WP_228294441.1	WP_228269584.1
OG0001612	WP_228274379.1	WP_228269595.1
OG0001613	WP_232013918.1	WP_228269596.1
OG0001614	WP_232013914.1	WP_228269597.1
OG0001615	WP_231187975.1	WP_228269598.1
OG0001616	WP_232013904.1	WP_228269599.1
OG0001617	WP_232013903.1	WP_228269600.1
OG0001618	WP_232013879.1	WP_228269604.1
OG0001619	WP_231147393.1	WP_228269605.1
OG0001620	WP_230923250.1	WP_228269608.1
OG0001621	WP_231147402.1	WP_228269609.1
OG0001622	WP_231144810.1	WP_228269612.1
OG0001623	WP_232013865.1	WP_228269613.1
OG0001624	WP_012515365.1	WP_228269616.1
OG0001625	WP_154804396.1	WP_228269617.1
OG0001626	WP_232013965.1	WP_228269618.1
OG0001627	WP_043039170.1	WP_228269621.1
OG0001628	WP_232013968.1	WP_228269625.1
OG0001629	WP_012680045.1	WP_228274948.1
OG0001630	WP_229296625.1	WP_229296625.1
OG0001631	WP_154804345.1	WP_229297585.1
OG0001632	WP_165623274.1	WP_255313996.1
OG0001633	WP_043030874.1	WP_266095217.1
OG0001642	WP_154803684.1	WP_000105206.1
OG0001643	WP_000166944.1	WP_000166942.1
OG0001644	WP_154803682.1	WP_000182253.1
OG0001645	WP_154803699.1	WP_000290864.1
OG0001646	WP_043039297.1	WP_000447009.1
OG0001648	WP_012515451.1	WP_012515451.1
OG0001649	WP_012515593.1	WP_012515593.1
OG0001650	WP_043038961.1	WP_012515596.1
OG0001651	WP_154803855.1	WP_012677981.1
OG0001652	WP_012678093.1	WP_012678093.1
OG0001653	WP_012679509.1	WP_012679509.1
OG0001655	WP_232013894.1	WP_014622135.1
OG0001660	WP_042670070.1	WP_014622323.1
OG0001663	WP_154804059.1	WP_014622469.1
OG0001664	WP_154804058.1	WP_014622472.1
OG0001665	WP_154804057.1	WP_014622473.1
OG0001666	WP_154804056.1	WP_014622474.1
OG0001667	WP_154804055.1	WP_014622475.1
OG0001668	WP_154804054.1	WP_014622476.1
OG0001669	WP_154803686.1	WP_014622606.1
OG0001670	WP_154803689.1	WP_014622610.1
OG0001671	WP_154803692.1	WP_014622612.1
OG0001672	WP_154803700.1	WP_014622615.1
OG0001673	WP_154803703.1	WP_014622620.1
OG0001674	WP_154803704.1	WP_014622621.1
OG0001675	WP_154803705.1	WP_014622622.1
OG0001676	WP_154803706.1	WP_014622623.1
OG0001677	WP_154803707.1	WP_014622624.1
OG0001678	WP_154803708.1	WP_014622625.1
OG0001679	WP_018374763.1	WP_014622626.1
OG0001680	WP_154803710.1	WP_014622629.1
OG0001681	WP_000661351.1	WP_014622633.1
OG0001682	WP_154803714.1	WP_014622634.1
OG0001683	WP_014622638.1	WP_014622638.1
OG0001684	WP_012678094.1	WP_014622739.1
OG0001685	WP_014622780.1	WP_014622780.1
OG0001687	WP_012677982.1	WP_014622843.1
OG0001688	WP_154803854.1	WP_014622844.1
OG0001689	WP_154803853.1	WP_014622845.1
OG0001690	WP_012677954.1	WP_014622865.1
OG0001692	WP_154803816.1	WP_014622958.1
OG0001693	WP_014622960.1	WP_014622960.1
OG0001694	WP_228275411.1	WP_014622961.1
OG0001695	WP_172954510.1	WP_014622970.1
OG0001699	WP_154803976.1	WP_014623267.1
OG0001700	WP_024405113.1	WP_014623268.1
OG0001701	WP_111693171.1	WP_014623273.1
OG0001702	WP_043053342.1	WP_014623335.1
OG0001703	WP_229297454.1	WP_014623483.1
OG0001704	WP_043039286.1	WP_014623487.1
OG0001705	WP_024396470.1	WP_014623505.1
OG0001706	WP_232013908.1	WP_014623623.1
OG0001707	WP_172954504.1	WP_017648311.1
OG0001709	WP_021320657.1	WP_021320657.1
OG0001711	WP_229297456.1	WP_037582122.1
OG0001712	WP_043039298.1	WP_038673954.1
OG0001713	WP_154803568.1	WP_038673967.1
OG0001714	WP_154803571.1	WP_038673973.1
OG0001715	WP_041790765.1	WP_038674097.1
OG0001716	WP_154803563.1	WP_038674106.1
OG0001719	WP_043052922.1	WP_038674404.1
