HOG	OG	Gene Tree Parent Clade	protein	protein_2	protein_3
N0.HOG0000588	OG0000539	-	WP_012679994.1	WP_111678381.1	WP_021321067.1
N0.HOG0000589	OG0000540	-	WP_012680032.1	WP_111678859.1	WP_154803587.1
N0.HOG0000590	OG0000541	-	WP_012680143.1	WP_037579540.1	WP_043982966.1
N0.HOG0000591	OG0000542	-	WP_014622072.1	WP_206158853.1	WP_014622072.1
N0.HOG0000592	OG0000543	-	WP_014622073.1	WP_012677175.1	WP_154804260.1
N0.HOG0000593	OG0000544	-	WP_014622076.1	WP_043031693.1	WP_154804259.1
N0.HOG0000594	OG0000545	-	WP_014622078.1	WP_043053535.1	WP_014622078.1
N0.HOG0000595	OG0000546	-	WP_014622080.1	WP_012677182.1	WP_012677182.1
N0.HOG0000596	OG0000547	-	WP_014622081.1	WP_206158856.1	WP_154804256.1
N0.HOG0000597	OG0000548	-	WP_014622082.1	WP_206158857.1	WP_043026861.1
N0.HOG0000598	OG0000549	-	WP_014622084.1	WP_165627774.1	WP_154804254.1
N0.HOG0000599	OG0000550	-	WP_014622085.1	WP_249093259.1	WP_232013901.1
N0.HOG0000600	OG0000551	-	WP_014622086.1	WP_012514697.1	WP_232013967.1
N0.HOG0000601	OG0000552	-	WP_014622087.1	WP_165628003.1	WP_154804252.1
N0.HOG0000602	OG0000553	-	WP_014622088.1	WP_206158860.1	WP_154804251.1
N0.HOG0000603	OG0000554	-	WP_014622089.1	WP_206158861.1	WP_154804250.1
N0.HOG0000604	OG0000555	-	WP_014622090.1	WP_206158863.1	WP_014622090.1
N0.HOG0000605	OG0000556	-	WP_014622091.1	WP_206158864.1	WP_154804249.1
N0.HOG0000606	OG0000557	-	WP_014622092.1	WP_206158865.1	WP_154804248.1
N0.HOG0000607	OG0000558	-	WP_014622093.1	WP_206158866.1	WP_154804247.1
N0.HOG0000608	OG0000559	-	WP_014622094.1	WP_043038324.1	WP_043024878.1
N0.HOG0000609	OG0000560	-	WP_014622095.1	WP_206158867.1	WP_154804246.1
N0.HOG0000610	OG0000561	-	WP_014622098.1	WP_206158869.1	WP_012514711.1
N0.HOG0000611	OG0000562	-	WP_014622099.1	WP_206158870.1	WP_043039891.1
N0.HOG0000612	OG0000563	-	WP_014622100.1	WP_012514713.1	WP_014622100.1
N0.HOG0000613	OG0000564	-	WP_014622102.1	WP_115251528.1	WP_043039892.1
N0.HOG0000614	OG0000565	-	WP_014622103.1	WP_111677625.1	WP_154804245.1
N0.HOG0000615	OG0000566	-	WP_014622105.1	WP_206158872.1	WP_154804244.1
N0.HOG0000616	OG0000567	-	WP_014622108.1	WP_206158874.1	WP_154804240.1
N0.HOG0000617	OG0000568	-	WP_014622109.1	WP_206158875.1	WP_172954524.1
N0.HOG0000618	OG0000569	-	WP_014622111.1	WP_206158877.1	WP_012514732.1
N0.HOG0000619	OG0000570	-	WP_014622112.1	WP_002986651.1	WP_021320247.1
N0.HOG0000620	OG0000571	-	WP_014622113.1	WP_012514745.1	WP_012514745.1
N0.HOG0000621	OG0000572	-	WP_014622116.1	WP_206158880.1	WP_154804237.1
N0.HOG0000622	OG0000573	-	WP_014622117.1	WP_206158881.1	WP_154804236.1
N0.HOG0000623	OG0000574	-	WP_014622118.1	WP_206158882.1	WP_012514755.1
N0.HOG0000624	OG0000575	-	WP_014622123.1	WP_014622123.1	WP_021320252.1
N0.HOG0000625	OG0000576	-	WP_014622126.1	WP_206158892.1	WP_154804234.1
N0.HOG0000626	OG0000577	-	WP_014622127.1	WP_206158893.1	WP_172954523.1
N0.HOG0000627	OG0000578	-	WP_014622130.1	WP_012514775.1	WP_043051863.1
N0.HOG0000628	OG0000579	-	WP_014622142.1	WP_206158899.1	WP_014622142.1
N0.HOG0000629	OG0000580	-	WP_014622144.1	WP_012677237.1	WP_042669824.1
N0.HOG0000630	OG0000581	-	WP_014622145.1	WP_206152302.1	WP_154804226.1
N0.HOG0000631	OG0000582	-	WP_014622146.1	WP_037580627.1	WP_043024962.1
N0.HOG0000632	OG0000583	-	WP_014622147.1, WP_148255834.1		WP_154804224.1
N0.HOG0000633	OG0000584	-	WP_014622149.1	WP_115250224.1	WP_154804223.1
N0.HOG0000634	OG0000585	-	WP_014622150.1	WP_012514792.1	WP_012514792.1
N0.HOG0000635	OG0000586	-	WP_014622151.1	WP_115250226.1	WP_154804221.1
N0.HOG0000636	OG0000587	-	WP_014622152.1	WP_206158904.1	WP_154804220.1
N0.HOG0000637	OG0000588	-	WP_014622154.1	WP_206158907.1	WP_138118663.1
N0.HOG0000638	OG0000589	-	WP_014622162.1	WP_206158914.1	WP_154804216.1
N0.HOG0000639	OG0000590	-	WP_014622173.1	WP_115250239.1	WP_043983903.1
N0.HOG0000640	OG0000591	-	WP_014622174.1	WP_206158918.1	WP_043038404.1
N0.HOG0000641	OG0000592	-	WP_014622175.1	WP_249093273.1	WP_154804215.1
N0.HOG0000642	OG0000593	-	WP_014622176.1	WP_012514818.1	WP_012514818.1
N0.HOG0000643	OG0000594	-	WP_014622177.1	WP_115250240.1	WP_154804214.1
N0.HOG0000644	OG0000595	-	WP_014622178.1	WP_012514821.1	WP_012514821.1
N0.HOG0000645	OG0000596	-	WP_014622179.1	WP_115250243.1	WP_154804212.1
N0.HOG0000646	OG0000597	-	WP_014622180.1	WP_115250244.1	WP_154804211.1
N0.HOG0000647	OG0000598	-	WP_014622181.1	WP_115250245.1	WP_154804210.1
N0.HOG0000648	OG0000599	-	WP_014622184.1	WP_115250246.1	WP_042669866.1
N0.HOG0000649	OG0000600	-	WP_014622186.1	WP_115250248.1	WP_154804205.1
N0.HOG0000650	OG0000601	-	WP_014622187.1	WP_115250249.1	WP_154804204.1
N0.HOG0000651	OG0000602	-	WP_014622190.1	WP_115250251.1	WP_154804203.1
N0.HOG0000652	OG0000603	-	WP_014622191.1	WP_115250252.1	WP_154804202.1
N0.HOG0000653	OG0000604	-	WP_014622194.1	WP_206158921.1	WP_043052666.1
N0.HOG0000654	OG0000605	-	WP_014622198.1	WP_012677289.1	WP_154804200.1
N0.HOG0000655	OG0000606	-	WP_014622206.1	WP_164336088.1	WP_012677293.1
N0.HOG0000656	OG0000607	-	WP_014622208.1	WP_042669878.1	WP_012678935.1
N0.HOG0000657	OG0000608	-	WP_014622209.1	WP_206158928.1	WP_154804196.1
N0.HOG0000658	OG0000609	-	WP_014622210.1	WP_043038431.1	WP_012678937.1
N0.HOG0000659	OG0000610	-	WP_014622214.1	WP_206158933.1	WP_154804188.1
N0.HOG0000660	OG0000611	-	WP_014622225.1	WP_206158938.1	WP_154804417.1
N0.HOG0000661	OG0000612	-	WP_014622227.1	WP_206158939.1	WP_043029307.1
N0.HOG0000662	OG0000613	-	WP_014622228.1	WP_012514879.1	WP_154804183.1
N0.HOG0000663	OG0000614	-	WP_014622229.1	WP_206158940.1	WP_138083036.1
N0.HOG0000664	OG0000615	-	WP_014622230.1	WP_206158941.1	WP_154804182.1
N0.HOG0000665	OG0000616	-	WP_014622231.1	WP_043025106.1	WP_154804180.1
N0.HOG0000666	OG0000617	-	WP_014622232.1	WP_115266811.1	WP_154803860.1
N0.HOG0000667	OG0000618	-	WP_014622233.1	WP_037580461.1	WP_154804179.1
N0.HOG0000668	OG0000619	-	WP_014622237.1	WP_115250538.1	WP_012678595.1
N0.HOG0000669	OG0000620	-	WP_014622239.1	WP_206158943.1	WP_154804176.1
N0.HOG0000670	OG0000621	-	WP_014622240.1	WP_165622974.1	WP_154804174.1
N0.HOG0000671	OG0000622	-	WP_014622241.1	WP_014622241.1	WP_227687772.1
N0.HOG0000672	OG0000623	-	WP_014622254.1	WP_206158948.1	WP_043038493.1
N0.HOG0000673	OG0000624	-	WP_014622256.1	WP_037580416.1	WP_154804152.1
N0.HOG0000674	OG0000625	-	WP_014622258.1	WP_206158955.1	WP_154804151.1
N0.HOG0000675	OG0000626	-	WP_014622259.1	WP_115250553.1	WP_154804150.1
N0.HOG0000676	OG0000627	-	WP_014622260.1	WP_115250554.1	WP_154804149.1
N0.HOG0000677	OG0000628	-	WP_014622261.1	WP_206158956.1	WP_021320337.1
N0.HOG0000678	OG0000629	-	WP_014622263.1	WP_206158958.1	WP_014622263.1
N0.HOG0000679	OG0000630	-	WP_014622264.1	WP_037580397.1	WP_014622264.1
N0.HOG0000680	OG0000631	-	WP_014622266.1	WP_196819829.1	WP_043029327.1
N0.HOG0000681	OG0000632	-	WP_014622267.1	WP_206158961.1	WP_012678559.1
N0.HOG0000682	OG0000633	-	WP_014622269.1	WP_014622269.1	WP_043983846.1
N0.HOG0000683	OG0000634	-	WP_014622270.1	WP_206158962.1	WP_154804145.1
N0.HOG0000684	OG0000635	-	WP_014622273.1	WP_012678993.1	WP_014622273.1
N0.HOG0000685	OG0000636	-	WP_014622275.1	WP_206158964.1	WP_012514935.1
N0.HOG0000686	OG0000637	-	WP_014622277.1	WP_012678545.1	WP_021320347.1
N0.HOG0000687	OG0000638	-	WP_014622279.1	WP_014622279.1	WP_154804142.1
N0.HOG0000688	OG0000639	-	WP_014622280.1	WP_206158966.1	WP_012514943.1
N0.HOG0000689	OG0000640	-	WP_014622281.1	WP_115250574.1	WP_014622281.1
N0.HOG0000690	OG0000641	-	WP_014622283.1	WP_043030445.1	WP_154804139.1
N0.HOG0000691	OG0000642	-	WP_014622284.1	WP_115250576.1	WP_154804138.1
N0.HOG0000692	OG0000643	-	WP_014622285.1	WP_115250577.1	WP_014622285.1
N0.HOG0000693	OG0000644	-	WP_014622286.1	WP_115250578.1	WP_042670024.1
N0.HOG0000694	OG0000645	-	WP_014622290.1	WP_206158967.1	WP_021320358.1
N0.HOG0000695	OG0000646	-	WP_014622296.1	WP_115250588.1	WP_154804133.1
N0.HOG0000696	OG0000647	-	WP_014622300.1	WP_043038541.1	WP_111677739.1
N0.HOG0000697	OG0000648	-	WP_014622301.1	WP_115250590.1	WP_043051934.1
N0.HOG0000698	OG0000649	-	WP_014622303.1	WP_012678516.1	WP_012678516.1
N0.HOG0000699	OG0000650	-	WP_014622304.1	WP_043025192.1	WP_154804132.1
N0.HOG0000700	OG0000651	-	WP_014622307.1	WP_115250592.1	WP_111710296.1
N0.HOG0000701	OG0000652	-	WP_014622311.1	WP_115250595.1	WP_154804130.1
N0.HOG0000702	OG0000653	-	WP_014622313.1	WP_115250596.1	WP_154804129.1
N0.HOG0000703	OG0000654	-	WP_014622317.1	WP_115250600.1	WP_154804126.1
N0.HOG0000704	OG0000655	-	WP_014622324.1	WP_014622324.1	WP_154804124.1
N0.HOG0000705	OG0000656	-	WP_014622325.1	WP_115250601.1	WP_154804123.1
N0.HOG0000706	OG0000657	-	WP_014622330.1	WP_115250605.1	WP_111692197.1
N0.HOG0000707	OG0000658	-	WP_014622331.1	WP_115250606.1	WP_111692198.1
N0.HOG0000708	OG0000659	-	WP_014622332.1	WP_206158970.1	WP_154804120.1
N0.HOG0000709	OG0000660	-	WP_014622335.1	WP_115250612.1	WP_154804115.1
N0.HOG0000710	OG0000661	-	WP_014622340.1	WP_115250617.1	WP_154804112.1
N0.HOG0000711	OG0000662	-	WP_014622341.1	WP_115250618.1	WP_138118794.1
N0.HOG0000712	OG0000663	-	WP_014622342.1	WP_115250619.1	WP_138118796.1
N0.HOG0000713	OG0000664	-	WP_014622346.1	WP_012678470.1	WP_012678470.1
N0.HOG0000714	OG0000665	-	WP_014622348.1	WP_037580165.1	WP_154804108.1
N0.HOG0000715	OG0000666	-	WP_014622350.1	WP_206156410.1	WP_043040133.1
N0.HOG0000716	OG0000667	-	WP_014622351.1	WP_043052757.1	WP_014622351.1
N0.HOG0000717	OG0000668	-	WP_014622352.1	WP_206158972.1	WP_154804106.1
N0.HOG0000718	OG0000669	-	WP_014622353.1	WP_206156408.1	WP_012678462.1
N0.HOG0000719	OG0000670	-	WP_014622354.1	WP_014622354.1	WP_012678461.1
N0.HOG0000720	OG0000671	-	WP_014622356.1	WP_014622356.1	WP_014622356.1
N0.HOG0000721	OG0000672	-	WP_014622357.1	WP_043040136.1	WP_154804105.1
N0.HOG0000722	OG0000673	-	WP_014622359.1	WP_041785294.1	WP_041785294.1
N0.HOG0000723	OG0000674	-	WP_014622360.1	WP_206156403.1	WP_012679076.1
N0.HOG0000724	OG0000675	-	WP_014622362.1	WP_012515055.1	WP_014622362.1
N0.HOG0000725	OG0000676	-	WP_014622363.1	WP_012678450.1	WP_043040138.1
N0.HOG0000726	OG0000677	-	WP_014622364.1	WP_206156401.1	WP_014622364.1
N0.HOG0000727	OG0000678	-	WP_014622365.1	WP_159334817.1	WP_043040141.1
N0.HOG0000728	OG0000679	-	WP_014622366.1	WP_012515062.1	WP_012678446.1
N0.HOG0000729	OG0000680	-	WP_014622367.1	WP_043040143.1	WP_154804104.1
N0.HOG0000730	OG0000681	-	WP_014622368.1	WP_014622368.1	WP_138118820.1
N0.HOG0000731	OG0000682	-	WP_014622369.1	WP_012515065.1	WP_154804103.1
N0.HOG0000732	OG0000683	-	WP_014622370.1	WP_206158973.1	WP_154804102.1
N0.HOG0000733	OG0000684	-	WP_014622371.1	WP_151374899.1	WP_041790741.1
N0.HOG0000734	OG0000685	-	WP_014622375.1	WP_165620132.1	WP_021320419.1
N0.HOG0000735	OG0000686	-	WP_014622376.1	WP_014622376.1	WP_043040146.1
N0.HOG0000736	OG0000687	-	WP_014622377.1	WP_014622377.1	WP_037580088.1
N0.HOG0000737	OG0000688	-	WP_014622378.1	WP_165625996.1	WP_154804100.1
N0.HOG0000738	OG0000689	-	WP_014622379.1	WP_012679094.1	WP_154804099.1
N0.HOG0000739	OG0000690	-	WP_014622380.1	WP_043038651.1	WP_014622380.1
N0.HOG0000740	OG0000691	-	WP_014622382.1	WP_043983780.1	WP_012679097.1
N0.HOG0000741	OG0000692	-	WP_014622386.1	WP_012515089.1	WP_012515089.1
N0.HOG0000742	OG0000693	-	WP_014622388.1	WP_206156399.1	WP_154804097.1
N0.HOG0000743	OG0000694	-	WP_014622391.1	WP_206156397.1	WP_041790558.1
N0.HOG0000744	OG0000695	-	WP_014622392.1	WP_206156396.1	WP_080004853.1
N0.HOG0000745	OG0000696	-	WP_014622395.1	WP_043983774.1	WP_154804095.1
N0.HOG0000746	OG0000697	-	WP_014622398.1	WP_043983772.1	WP_154804092.1
N0.HOG0000747	OG0000698	-	WP_014622401.1	WP_043030517.1	WP_014622401.1
N0.HOG0000748	OG0000699	-	WP_014622402.1	WP_111692241.1	WP_154804090.1
N0.HOG0000749	OG0000700	-	WP_014622403.1	WP_206156392.1	WP_154804089.1
N0.HOG0000750	OG0000701	-	WP_014622404.1	WP_249093341.1	WP_231197128.1
N0.HOG0000751	OG0000702	-	WP_014622406.1	WP_043029425.1	WP_154804088.1
N0.HOG0000752	OG0000703	-	WP_014622407.1	WP_042670173.1	WP_154804086.1
N0.HOG0000753	OG0000704	-	WP_014622409.1	WP_206156390.1	WP_154804084.1
N0.HOG0000754	OG0000705	-	WP_014622412.1	WP_165627891.1	WP_154804083.1
N0.HOG0000755	OG0000706	-	WP_014622413.1	WP_206156389.1	WP_154804082.1
N0.HOG0000756	OG0000707	-	WP_014622414.1	WP_012515125.1	WP_154804081.1
N0.HOG0000757	OG0000708	-	WP_014622419.1	WP_165623030.1	WP_154804080.1
N0.HOG0000758	OG0000709	-	WP_014622422.1	WP_206156387.1	WP_154804079.1
N0.HOG0000759	OG0000710	-	WP_014622423.1	WP_206158974.1	WP_043983761.1
N0.HOG0000760	OG0000711	-	WP_014622424.1	WP_021320450.1	WP_021320450.1
N0.HOG0000761	OG0000712	-	WP_014622426.1	WP_206156385.1	WP_043040196.1
N0.HOG0000762	OG0000713	-	WP_014622427.1	WP_206156384.1	WP_043040197.1
N0.HOG0000763	OG0000714	-	WP_014622428.1	WP_206156383.1	WP_043040198.1
N0.HOG0000764	OG0000715	-	WP_014622429.1	WP_042670190.1	WP_014622429.1
N0.HOG0000765	OG0000716	-	WP_014622433.1	WP_206156380.1	WP_043025364.1
N0.HOG0000766	OG0000717	-	WP_014622434.1	WP_043983756.1	WP_154804076.1
N0.HOG0000767	OG0000718	-	WP_014622436.1	WP_014622436.1	WP_014622436.1
N0.HOG0000768	OG0000719	-	WP_014622437.1	WP_206156379.1	WP_154804075.1
N0.HOG0000769	OG0000720	-	WP_014622438.1	WP_043030542.1	WP_043040206.1
N0.HOG0000770	OG0000721	-	WP_014622441.1	WP_043036553.1	WP_154804074.1
N0.HOG0000771	OG0000722	-	WP_014622445.1	WP_024273139.1	WP_024273139.1
N0.HOG0000772	OG0000723	-	WP_014622446.1	WP_012515168.1	WP_012515168.1
N0.HOG0000773	OG0000724	-	WP_014622448.1	WP_206156919.1	WP_043052823.1
N0.HOG0000774	OG0000725	-	WP_014622450.1	WP_126436428.1	WP_014622450.1
N0.HOG0000775	OG0000726	-	WP_014622458.1	WP_012678359.1	WP_154804069.1
N0.HOG0000776	OG0000727	-	WP_014622459.1	WP_043030550.1	WP_154804068.1
N0.HOG0000777	OG0000728	-	WP_014622466.1		WP_154804063.1, WP_154804066.1
N0.HOG0000778	OG0000729	-	WP_014622479.1	WP_014622479.1	WP_014622479.1
N0.HOG0000779	OG0000730	-	WP_014622481.1	WP_165623575.1	WP_154804051.1
N0.HOG0000780	OG0000731	-	WP_014622482.1	WP_206156367.1	WP_111692274.1
N0.HOG0000781	OG0000732	-	WP_014622483.1	WP_043052850.1	WP_043052850.1
N0.HOG0000782	OG0000733	-	WP_014622484.1	WP_206156366.1	WP_111692275.1
N0.HOG0000783	OG0000734	-	WP_014622486.1	WP_014622486.1	WP_014622486.1
N0.HOG0000784	OG0000735	-	WP_014622487.1	WP_043029465.1	WP_012679153.1
N0.HOG0000785	OG0000736	-	WP_014622488.1	WP_014622488.1	WP_154804050.1
N0.HOG0000786	OG0000737	-	WP_014622489.1	WP_206156364.1	WP_043983725.1
N0.HOG0000787	OG0000738	-	WP_014622490.1	WP_014622490.1	WP_012515220.1
N0.HOG0000788	OG0000739	-	WP_014622491.1	WP_014622491.1	WP_154804047.1
N0.HOG0000789	OG0000740	-	WP_014622492.1	WP_206156363.1	WP_014622492.1
N0.HOG0000790	OG0000741	-	WP_014622493.1	WP_012678319.1	WP_012679162.1
N0.HOG0000791	OG0000742	-	WP_014622494.1	WP_043030580.1	WP_154804046.1
N0.HOG0000792	OG0000743	-	WP_014622497.1	WP_012515230.1	WP_012515230.1
N0.HOG0000793	OG0000744	-	WP_014622498.1	WP_206153029.1	WP_012515232.1
N0.HOG0000794	OG0000745	-	WP_014622501.1	WP_206156362.1	WP_154804045.1
N0.HOG0000795	OG0000746	-	WP_014622502.1	WP_206156361.1	WP_012679169.1
N0.HOG0000796	OG0000747	-	WP_014622503.1	WP_206156360.1	WP_043040270.1
N0.HOG0000797	OG0000748	-	WP_014622504.1	WP_012678306.1	WP_012678306.1
N0.HOG0000798	OG0000749	-	WP_014622505.1	WP_014622505.1	WP_014622505.1
N0.HOG0000799	OG0000750	-	WP_014622506.1	WP_206158978.1	WP_111677853.1
N0.HOG0000800	OG0000751	-	WP_014622507.1	WP_206156358.1	WP_154804044.1
N0.HOG0000801	OG0000752	-	WP_014622508.1	WP_206156357.1	WP_043025456.1
N0.HOG0000802	OG0000753	-	WP_014622512.1	WP_206156354.1	WP_154804041.1
N0.HOG0000803	OG0000754	-	WP_014622513.1	WP_043029482.1	WP_043036588.1
N0.HOG0000804	OG0000755	-	WP_014622515.1	WP_043029483.1	WP_154804040.1
N0.HOG0000805	OG0000756	-	WP_014622516.1	WP_206156352.1	WP_014622516.1
N0.HOG0000806	OG0000757	-	WP_014622519.1	WP_206156350.1	WP_037579095.1
N0.HOG0000807	OG0000758	-	WP_014622521.1	WP_206156349.1	WP_043038774.1
N0.HOG0000808	OG0000759	-	WP_014622524.1	WP_012515269.1	WP_012515269.1
N0.HOG0000809	OG0000760	-	WP_014622526.1	WP_282184796.1	WP_154804037.1
N0.HOG0000810	OG0000761	-	WP_014622531.1	WP_014622531.1	WP_012678275.1
N0.HOG0000811	OG0000762	-	WP_014622534.1	WP_206156346.1	WP_154804031.1
N0.HOG0000812	OG0000763	-	WP_014622535.1	WP_165623119.1	WP_154804030.1
N0.HOG0000813	OG0000764	-	WP_014622538.1	WP_012678268.1	WP_154804029.1
N0.HOG0000814	OG0000765	-	WP_014622539.1	WP_012678267.1	WP_111677873.1
N0.HOG0000815	OG0000766	-	WP_014622541.1	WP_206156343.1	WP_042670319.1
N0.HOG0000816	OG0000767	-	WP_014622542.1	WP_012515294.1	WP_043030608.1
N0.HOG0000817	OG0000768	-	WP_014622543.1	WP_206158983.1	WP_043030609.1
N0.HOG0000818	OG0000769	-	WP_014622544.1	WP_206156918.1	WP_154804407.1
N0.HOG0000819	OG0000770	-	WP_014622545.1	WP_043983699.1	WP_024273155.1
N0.HOG0000820	OG0000771	-	WP_014622548.1	WP_012678257.1	WP_043025510.1
N0.HOG0000821	OG0000772	-	WP_014622549.1	WP_043030612.1	WP_154804025.1
N0.HOG0000822	OG0000773	-	WP_014622550.1	WP_206156340.1	WP_154804024.1
N0.HOG0000823	OG0000774	-	WP_014622552.1	WP_111692313.1	WP_012515307.1
N0.HOG0000824	OG0000775	-	WP_014622554.1	WP_014622554.1	WP_037578452.1
N0.HOG0000825	OG0000776	-	WP_014622556.1	WP_012678246.1	WP_012515311.1
N0.HOG0000826	OG0000777	-	WP_014622557.1	WP_012515312.1	WP_154804021.1
N0.HOG0000827	OG0000778	-	WP_014622560.1	WP_206158985.1	WP_154804020.1
N0.HOG0000828	OG0000779	-	WP_014622563.1	WP_196819946.1	WP_154804019.1
N0.HOG0000829	OG0000780	-	WP_014622565.1	WP_196819947.1	WP_154804018.1
N0.HOG0000830	OG0000781	-	WP_014622566.1	WP_012515321.1	WP_012515321.1
N0.HOG0000831	OG0000782	-	WP_014622568.1	WP_206156335.1	WP_154804017.1
N0.HOG0000832	OG0000783	-	WP_014622570.1	WP_014622570.1	WP_154804016.1
N0.HOG0000833	OG0000784	-	WP_014622571.1	WP_043983690.1	WP_154804015.1
N0.HOG0000834	OG0000785	-	WP_014622572.1	WP_043983689.1	WP_154804014.1
N0.HOG0000835	OG0000786	-	WP_014622573.1	WP_012679236.1	WP_012679236.1
N0.HOG0000836	OG0000787	-	WP_014622575.1	WP_043983687.1	WP_154804012.1
N0.HOG0000837	OG0000788	-	WP_014622577.1	WP_014622577.1	WP_014622577.1
N0.HOG0000838	OG0000789	-	WP_014622580.1	WP_206158986.1	WP_154804011.1
N0.HOG0000839	OG0000790	-	WP_014622582.1	WP_206156332.1	WP_154804010.1
N0.HOG0000840	OG0000791	-	WP_014622583.1	WP_012515337.1	WP_115267003.1
N0.HOG0000841	OG0000792	-	WP_014622584.1	WP_014622584.1	WP_014622584.1
N0.HOG0000842	OG0000793	-	WP_014622585.1	WP_206156331.1	WP_154804009.1
N0.HOG0000843	OG0000794	-	WP_014622587.1	WP_042670356.1	WP_154804008.1
N0.HOG0000844	OG0000795	-	WP_014622588.1	WP_206158987.1	WP_012515342.1
N0.HOG0000845	OG0000796	-	WP_014622641.1	WP_111689997.1	WP_014622641.1
N0.HOG0000846	OG0000797	-	WP_014622654.1	WP_043983682.1	WP_014622654.1
N0.HOG0000847	OG0000798	-	WP_014622655.1	WP_206156328.1	WP_154803971.1
N0.HOG0000848	OG0000799	-	WP_014622656.1	WP_014622656.1	WP_154803970.1
N0.HOG0000849	OG0000800	-	WP_014622658.1	WP_014622658.1	WP_012515346.1
N0.HOG0000850	OG0000801	-	WP_014622659.1	WP_012678185.1	WP_154803968.1
N0.HOG0000851	OG0000802	-	WP_014622660.1	WP_012678184.1	WP_154803967.1
N0.HOG0000852	OG0000803	-	WP_014622663.1	WP_206156326.1	WP_154803965.1
N0.HOG0000853	OG0000804	-	WP_014622665.1	WP_206156324.1	WP_154803963.1
N0.HOG0000854	OG0000805	-	WP_014622671.1	WP_206156323.1	WP_154803960.1
N0.HOG0000855	OG0000806	-	WP_014622672.1	WP_043052932.1	WP_154803959.1
N0.HOG0000856	OG0000807	-	WP_014622674.1	WP_111677937.1	WP_012679287.1
N0.HOG0000857	OG0000808	-	WP_014622675.1	WP_206156322.1	WP_154803957.1
N0.HOG0000858	OG0000809	-	WP_014622677.1	WP_012678162.1	WP_012678162.1
N0.HOG0000859	OG0000810	-	WP_014622679.1	WP_206158994.1	WP_154803955.1
N0.HOG0000860	OG0000811	-	WP_014622680.1	WP_012679351.1	WP_012679351.1
N0.HOG0000861	OG0000812	-	WP_014622681.1	WP_126436569.1	WP_154803954.1
N0.HOG0000862	OG0000813	-	WP_014622682.1	WP_043030662.1	WP_154803953.1
N0.HOG0000863	OG0000814	-	WP_014622683.1	WP_206156319.1	WP_154803951.1
N0.HOG0000864	OG0000815	-	WP_014622685.1	WP_206158995.1	WP_154803949.1
N0.HOG0000865	OG0000816	-	WP_014622687.1	WP_014622687.1	WP_012678150.1
N0.HOG0000866	OG0000817	-	WP_014622688.1	WP_206158997.1	WP_014622688.1
N0.HOG0000867	OG0000818	-	WP_014622689.1	WP_021320614.1	WP_012678148.1
N0.HOG0000868	OG0000819	-	WP_014622690.1	WP_043983663.1	WP_012678147.1
N0.HOG0000869	OG0000820	-	WP_014622692.1	WP_042670471.1	WP_012678145.1
N0.HOG0000870	OG0000821	-	WP_014622693.1	WP_043025613.1	WP_154803948.1
N0.HOG0000871	OG0000822	-	WP_014622694.1	WP_043983662.1	WP_043038867.1
N0.HOG0000872	OG0000823	-	WP_014622696.1	WP_206156916.1	WP_172954537.1
N0.HOG0000873	OG0000824	-	WP_014622699.1	WP_206156316.1	WP_154803947.1
N0.HOG0000874	OG0000825	-	WP_014622701.1	WP_014622701.1	WP_021320623.1
N0.HOG0000875	OG0000826	-	WP_014622704.1	WP_021320626.1	WP_021320626.1
N0.HOG0000876	OG0000827	-	WP_014622708.1	WP_115250829.1	WP_014622708.1
N0.HOG0000877	OG0000828	-	WP_014622710.1	WP_138119098.1	WP_154803942.1
N0.HOG0000878	OG0000829	-	WP_014622714.1	WP_206158998.1	WP_154803940.1
N0.HOG0000879	OG0000830	-	WP_014622716.1	WP_042670492.1	WP_154803938.1
N0.HOG0000880	OG0000831	-	WP_014622717.1	WP_043029612.1	WP_154803937.1
N0.HOG0000881	OG0000832	-	WP_014622718.1	WP_138119998.1	WP_154804398.1
N0.HOG0000882	OG0000833	-	WP_014622719.1	WP_206158999.1	WP_154803936.1
N0.HOG0000883	OG0000834	-	WP_014622722.1	WP_012678113.1	WP_012679391.1
N0.HOG0000884	OG0000835	-	WP_014622723.1	WP_021320644.1	WP_021320644.1
N0.HOG0000885	OG0000836	-	WP_014622724.1	WP_012515433.1	WP_012678110.1
N0.HOG0000886	OG0000837	-	WP_014622727.1	WP_206159004.1	WP_154803934.1
N0.HOG0000887	OG0000838	-	WP_014622728.1	WP_206159005.1	WP_014622728.1
N0.HOG0000888	OG0000839	-	WP_014622731.1	WP_206159006.1	WP_154803933.1
N0.HOG0000889	OG0000840	-	WP_014622732.1	WP_206159008.1	WP_042670508.1
N0.HOG0000890	OG0000841	-	WP_014622733.1	WP_206159009.1	WP_154803931.1
N0.HOG0000891	OG0000842	-	WP_014622741.1	WP_206159014.1	WP_154803925.1
N0.HOG0000892	OG0000843	-	WP_014622742.1	WP_229297579.1	WP_021320659.1
N0.HOG0000893	OG0000844	-	WP_014622743.1	WP_206159015.1	WP_012679410.1
N0.HOG0000894	OG0000845	-	WP_014622745.1	WP_206159017.1	WP_012678089.1
N0.HOG0000895	OG0000846	-	WP_014622746.1	WP_206159019.1	WP_154803923.1
N0.HOG0000896	OG0000847	-	WP_014622747.1	WP_256605726.1	WP_269204860.1
N0.HOG0000897	OG0000848	-	WP_014622750.1	WP_206159022.1	WP_154803920.1
